año-mes;región;informados;ovnis;aviones;satélites;otros
2021-2;Magallanes;29;0;8;16;5
2021-2;Antofagasta;30;0;20;9;1
2021-3;Antofagasta;29;2;20;2;5
2021-3;Maule;18;0;9;6;3
2021-1;Valparaíso;18;3;7;7;1
2021-3;Magallanes;36;3;14;15;4
2021-3;Araucanía;29;1;14;9;5
2021-2;Araucanía;26;1;17;6;2
2021-2;Metropolitana;36;3;9;20;4
2021-2;Maule;26;2;7;17;0
2021-3;Coquimbo;24;0;3;18;3
2021-1;Antofagasta;24;3;12;8;1
2021-2;Coquimbo;22;0;20;1;1
2021-1;Metropolitana;30;1;10;19;0
2021-1;Los Ríos;26;0;15;9;2
2021-1;Coquimbo;23;2;7;11;3
2021-2;Los Ríos;39;2;17;18;2
