año-mes;región;informados;ovnis;aviones;satélites;otros
2020-4;Antofagasta;23;1;17;0;5
2020-4;Ñuble;32;3;17;10;2
2020-9;Los Lagos;28;2;8;15;3
2020-3;Ñuble;39;1;19;16;3
2020-4;Magallanes;34;3;19;11;1
2020-1;Los Lagos;31;0;17;13;1
2020-2;Ñuble;16;0;7;6;3
2020-9;Maule;27;3;8;12;4
2020-5;Coquimbo;35;1;19;15;0
2020-2;Aysén;22;3;7;8;4
2020-4;Araucanía;18;3;3;8;4
2020-3;Aysén;19;1;8;7;3
2020-1;Metropolitana;22;2;4;16;0
2020-5;Antofagasta;20;0;13;2;5
2020-11;Maule;11;1;2;5;3
2020-6;Biobío;17;3;7;4;3
2020-4;Atacama;19;1;15;0;3
2020-10;Los Ríos;28;2;7;17;2
2020-6;Tarapacá;25;2;10;9;4
2020-6;Metropolitana;37;2;20;13;2
2020-4;Los Ríos;29;1;15;12;1
2020-6;Ñuble;7;1;0;4;2
2020-6;Antofagasta;40;1;17;20;2
2020-5;Ñuble;17;1;8;5;3
2020-10;Valparaíso;13;0;7;4;2
2020-7;Los Ríos;23;3;7;9;4
2020-7;Tarapacá;17;1;13;2;1
2020-4;Coquimbo;24;2;8;13;1
2020-5;Atacama;29;3;5;17;4
2020-3;Maule;29;3;4;18;4
2020-5;Los Ríos;31;2;10;15;4
2020-1;Magallanes;26;3;0;18;5
2020-10;Biobío;21;1;11;5;4
2020-2;Los Ríos;26;3;0;19;4
2020-11;Los Lagos;33;2;12;14;5
2020-10;Magallanes;29;2;17;6;4
2020-4;Metropolitana;34;0;15;14;5
2020-11;Los Ríos;23;2;4;12;5
2020-8;Los Ríos;17;1;10;3;3
2020-7;Metropolitana;26;2;8;12;4
2020-5;Arica y Parinacota;18;0;13;2;3
2020-6;Araucanía;26;0;6;17;3
2020-6;Coquimbo;36;2;13;20;1
2020-11;Arica y Parinacota;11;2;0;8;1
2020-4;Los Lagos;38;3;18;13;4
2020-9;Los Ríos;37;0;16;17;4
2020-6;Los Ríos;37;1;17;15;4
2020-6;Valparaíso;26;3;15;4;4
2020-4;Arica y Parinacota;13;1;1;7;4
2020-2;Antofagasta;16;1;12;0;3
2020-6;Los Lagos;18;3;11;1;3
2020-7;Maule;26;3;3;17;3
2020-9;Coquimbo;29;0;11;15;3
2020-1;Ñuble;25;3;12;10;0
2020-7;Biobío;6;1;0;0;5
2020-1;Los Ríos;10;3;3;1;3
2020-7;Aysén;27;2;14;9;2
2020-4;OHiggins;26;3;18;5;0
2020-6;Maule;21;3;17;0;1
2020-3;OHiggins;23;0;19;4;0
2020-1;Atacama;14;3;11;0;0
2020-1;Coquimbo;32;2;13;17;0
2020-7;Ñuble;24;3;2;16;3
2020-6;Atacama;10;3;4;0;3
2020-1;Araucanía;15;2;7;2;4
2020-1;Maule;22;0;11;8;3
2020-4;Biobío;10;3;5;2;0
2020-3;Coquimbo;10;0;1;4;5
2020-11;Araucanía;8;0;6;1;1
2020-8;Tarapacá;23;1;11;6;5
2020-1;OHiggins;22;0;1;17;4
2020-7;Coquimbo;24;1;1;17;5
2020-8;Valparaíso;37;2;12;20;3
2020-4;Aysén;32;3;16;10;3
2020-2;Atacama;27;2;2;19;4
2020-6;Arica y Parinacota;31;3;8;18;2
2020-5;Maule;11;1;6;3;1
2020-10;Maule;19;1;4;10;4
2020-7;Arica y Parinacota;11;1;5;4;1
2020-4;Maule;36;3;14;19;0
2020-5;Aysén;30;2;13;11;4
2020-3;Valparaíso;7;0;0;3;4
2020-6;Aysén;22;1;8;9;4
2020-11;OHiggins;40;2;18;18;2
2020-4;Valparaíso;21;1;2;16;2
2020-3;Metropolitana;26;3;4;15;4
2020-3;Magallanes;23;3;0;19;1
2020-6;OHiggins;35;0;19;11;5
2020-3;Araucanía;21;3;7;7;4
2020-7;Atacama;26;3;16;4;3
2020-3;Arica y Parinacota;46;2;19;20;5
2020-8;Los Lagos;26;2;17;5;2
2020-7;Araucanía;16;1;10;2;3
2020-10;Metropolitana;35;1;20;14;0
2020-2;Los Lagos;38;3;18;13;4
2020-5;OHiggins;17;0;14;3;0
2020-4;Tarapacá;23;2;7;12;2
2020-6;Magallanes;26;2;2;18;4
2020-1;Aysén;27;0;8;19;0
2020-5;Valparaíso;30;2;7;18;3
